1,1,1
2,1,2
3,1,3
4,1,4
5,2,5
6,2,6
7,2,7
8,3,8
9,3,9
10,3,10
11,3,11
12,3,12
13,3,13
14,4,14
15,4,15
16,5,16
17,5,17
18,5,18
19,5,19
20,6,20
21,6,21
22,6,22
23,7,24
24,7,25
25,7,23
26,8,26
27,8,27
28,8,28
29,8,29
30,9,30
31,9,31
32,10,32
33,10,33
34,10,34
35,10,35
36,10,36
37,11,37
38,11,38
39,11,39
40,11,40
41,11,41
42,11,11
43,12,42
44,12,43
45,12,44
46,12,45
47,13,46
48,13,47
49,14,48
50,15,49
51,15,50
52,15,51
53,16,52
54,16,53
55,16,54
56,16,55
57,16,56
58,16,57
59,17,58
60,17,59
61,17,60
62,18,64
63,18,65
64,18,61
65,18,62
66,18,63
67,19,66
68,19,67
69,19,68
70,19,69
71,19,70
72,19,71
73,19,72
74,19,73
75,19,74
76,20,8
77,20,75
78,20,76
79,20,77
80,20,78
81,21,80
82,21,81
83,21,82
84,21,79
85,22,83
86,22,84
87,22,85
88,22,86
89,22,87
90,22,88
91,22,89
92,22,90
93,22,91
94,22,92
95,22,93
96,23,96
97,23,53
98,23,54
99,23,57
100,23,94
101,23,95
102,24,97
103,24,98
104,24,99
105,25,100
106,25,101
107,26,102
108,26,103
109,27,104
110,27,105
111,27,106
112,27,107
113,27,108
114,27,109
115,27,110
116,27,111
117,27,112
118,27,113
119,27,114
120,28,115
121,29,106
122,29,116
123,29,111
124,30,120
125,30,121
126,30,117
127,30,118
128,30,119
129,31,128
130,31,122
131,31,123
132,31,124
133,31,125
134,31,126
135,31,127
136,32,129
137,32,130
138,32,131
139,32,132
140,33,133
141,33,134
142,33,135
143,33,136
144,33,137
145,33,138
146,33,139
147,34,140
148,34,141
149,34,142
150,35,143
151,36,144
152,36,145
153,36,146
154,36,147
155,37,148
156,37,149
157,37,150
158,37,151
159,38,152
160,38,153
161,38,154
162,38,155
163,38,156
164,38,157
165,38,158
166,38,159
167,39,160
168,39,161
